adress,fee,features,sale_price,sold_date,value_dev,ppsqm,district,size,rooms,floor
vanadisplan 2,2390,2.0,7 325 000, 18 oktober 2021,31,116 640,vasastan,"62,8 ", 2,6
torsgatan 50,1885,3.0,7 500 000, 18 oktober 2021,20,120 968,vasastan,62 , 2,
vidargatan 4,2415,2.0,8 500 000, 18 oktober 2021,22,126 866,vasastan,67 , 2,1
roslagsgatan 45,2710,2.0,5 500 000, 17 oktober 2021,17,110 000,vasastan,50 , 3,5
hälsingegatan 33,2218,1.0,4 450 000, 17 oktober 2021,11,132 836,vasastan,"33,5 ", 2,
roslagsgatan 40a,3115,1.0,9 000 000, 16 oktober 2021,±0,109 756,vasastan,82 + 14 ," 2,5",4
teknologgatan 8c,3850,2.0,8 700 000, 16 oktober 2021,24,152 632,vasastan,57 + 30 ," 2,5",3
sigtunagatan 18,1943,3.0,7 000 000, 15 oktober 2021,17,116 667,vasastan,60 , 2,
hagagatan 17m,2954,3.0,6 650 000, 15 oktober 2021,16,107 258,vasastan,62 , 3,4
torsgatan 48b,473,,8 600 000, 15 oktober 2021,,122 857,vasastan,70 , 2,3
norrtullsgatan 38,2917,3.0,4 475 000, 15 oktober 2021,±0,84 434,vasastan,53 , 3,1
gästrikegatan 18a,1939,1.0,7 100 000, 15 oktober 2021,15,136 538,vasastan,52 , 2,
vikingagatan 14b,1657,4.0,6 525 000, 15 oktober 2021,10,110 593,vasastan,59 , 2,
tulegatan 42,1754,3.0,4 070 000, 15 oktober 2021,-8,131 290,vasastan,31 , 2,
gästrikegatan 12,1326,2.0,3 350 000, 15 oktober 2021,8,115 517,vasastan,29 , 1,4
idungatan 7c,1329,2.0,4 120 000, 15 oktober 2021,18,111 351,vasastan,37 ," 1,5",1
atlasgatan 1,2661,2.0,7 050 000, 15 oktober 2021,11,113 710,vasastan,62 , 2,
rådmansgatan 78,1748,2.0,6 475 000, 15 oktober 2021,13,119 907,vasastan,54 , 2,
sankt eriksplan 10,2049,3.0,20 000 000, 15 oktober 2021,2,125 000,vasastan,160 , 4,4
vanadisvägen 30,3609,3.0,11 260 000, 14 oktober 2021,19,127 955,vasastan,88 , 3,
norrtullsgatan 4,2224,2.0,16 000 000, 14 oktober 2021,7,117 647,vasastan,136 , 4,
torbjörn klockares gata 23,2560,,4 000 000, 14 oktober 2021,11,111 111,vasastan,36 , 2,1
torsgatan 42,3002,3.0,7 200 000, 14 oktober 2021,6,110 769,vasastan,65 , 3,
roslagsgatan 47,2300,2.0,4 350 000, 14 oktober 2021,7,103 571,vasastan,42 , 2,4
tomtebogatan 7,1845,,6 850 000, 14 oktober 2021,22,116 299,vasastan,"58,9 ", 2,2
gävlegatan 26,2200,3.0,5 100 000, 14 oktober 2021,13,115 909,vasastan,44 , 2,4
dalagatan 23,2932,3.0,12 850 000, 14 oktober 2021,18,132 474,vasastan,97 , 3,3
dalagatan 70,3086,,10 400 000, 14 oktober 2021,21,128 395,vasastan,81 , 3,2
karlbergsvägen 23,2972,3.0,8 300 000, 13 oktober 2021,4,118 571,vasastan,70 , 2,2
sankt eriksgatan 83,4587,3.0,12 000 000, 13 oktober 2021,±0,107 143,vasastan,112 , 5,
vanadisvägen 32,4615,3.0,12 500 000, 13 oktober 2021,9,105 932,vasastan,118 ," 3,5",2
rörstrandsgatan 48,4233,2.0,8 500 000, 13 oktober 2021,18,111 842,vasastan,76 , 3,3
tre liljor 5,2629,3.0,5 420 000, 13 oktober 2021,9,104 231,vasastan,52 , 2,4
tomtebogatan 48a,3668,3.0,12 500 000, 13 oktober 2021,±0,120 192,vasastan,104 , 3,
vanadisvägen 7b,2624,2.0,6 200 000, 13 oktober 2021,13,98 413,vasastan,63 , 2,2
ynglingagatan 21,2877,3.0,6 700 000, 13 oktober 2021,5,113 559,vasastan,59 , 2,2
dannemoragatan 16a,1819,2.0,3 470 000, 13 oktober 2021,9,102 059,vasastan,34 , 1,
tomtebogatan 30,3144,2.0,8 050 000, 13 oktober 2021,17,105 921,vasastan,76 ," 2,5",3
upplandsgatan 25b,1860,,5 925 000, 13 oktober 2021,19,109 722,vasastan,54 , 2,
tulegatan 42,1377,2.0,4 070 000, 13 oktober 2021,16,131 290,vasastan,31 , 2,
gävlegatan 3,2140,,6 225 000, 13 oktober 2021,27,109 211,vasastan,57 ," 2,5",2
upplandsgatan 28,4458,2.0,8 700 000, 13 oktober 2021,9,101 754,vasastan,"85,5 ", 4,6
hälsingehöjden 3,3262,2.0,6 900 000, 13 oktober 2021,15,106 154,vasastan,65 , 2,
hälsingegatan 17,1253,,4 875 000, 13 oktober 2021,±0,128 289,vasastan,38 , 2,
rehnsgatan 15,2530,3.0,8 100 000, 12 oktober 2021,17,124 615,vasastan,65 ," 2,5",4
emmy rappes gata 3,3977,2.0,7 300 000, 12 oktober 2021,4,109 281,vasastan,"66,8 ", 2,6
torsplan 8,4516,3.0,9 850 000, 12 oktober 2021,±0,127 922,vasastan,77 , 3,10
döbelnsgatan 67b,1249,2.0,5 000 000, 12 oktober 2021,25,137 363,vasastan,"36,4 ", 2,5
norrtullsgatan 63,2799,3.0,5 700 000, 12 oktober 2021,4,101 786,vasastan,56 , 2,2
heimdalsgatan 4,3964,3.0,10 400 000, 12 oktober 2021,19,119 540,vasastan,87 ," 4,5",
sankt eriksgatan 80,59,3.0,14 800 000, 12 oktober 2021,18,138 318,vasastan,107 , 3,3
karlbergsvägen 62,716,2.0,4 500 000, 12 oktober 2021,19,102 273,vasastan,44 , 1,
robert almströmsgatan 8,1071,2.0,2 900 000, 12 oktober 2021,26,138 095,vasastan,21 , 1,5
sveavägen 94,0,3.0,9 850 000, 12 oktober 2021,19,126 282,vasastan,78 , 3,
norrtullsgatan 31,4292,3.0,11 600 000, 12 oktober 2021,13,131 818,vasastan,88 , 3,
birkagatan 25,2670,,8 425 000, 12 oktober 2021,20,129 615,vasastan,65 , 2,
holländargatan 31,1106,2.0,3 125 000, 12 oktober 2021,25,142 045,vasastan,22 , 1,4
birkagatan 31,2475,3.0,5 650 000, 11 oktober 2021,±0,95 763,vasastan,59 , 2,
västmannagatan 45,2898,3.0,12 400 000, 11 oktober 2021,±0,111 311,vasastan,"111,4 ", 5,2
tulegatan 31b,2664,3.0,7 500 000, 11 oktober 2021,19,141 509,vasastan,53 , 2,1
västmannagatan 82a,1261,,3 500 000, 11 oktober 2021,17,129 630,vasastan,27 , 1,
torsplan 10,4136,3.0,10 500 000, 11 oktober 2021,14,154 412,vasastan,68 , 3,10
sankt eriksgatan 64,832,2.0,6 100 000, 11 oktober 2021,8,92 424,vasastan,66 , 3,
rörstrandsgatan 16,3714,3.0,11 100 000, 10 oktober 2021,12,121 978,vasastan,91 , 3,
roslagsgatan 47,2407,2.0,5 400 000, 9 oktober 2021,,116 129,vasastan,"46,5 "," 1,5",
tomtebogatan 34,3918,2.0,5 750 000, 9 oktober 2021,±0,84 559,vasastan,68 , 2,
vanadisvägen 30,5098,2.0,12 750 000, 8 oktober 2021,2,100 394,vasastan,127 , 4,3
roslagsgatan 29a,1507,3.0,3 250 000, 8 oktober 2021,25,135 417,vasastan,24 , 1,2
falugatan 16,2642,,5 850 000, 8 oktober 2021,30,119 388,vasastan,49 , 2,3
västmannagatan 69,1605,2.0,5 800 000, 8 oktober 2021,5,128 889,vasastan,45 , 2,1
sveavägen 140,1825,3.0,7 700 000, 8 oktober 2021,10,101 316,vasastan,76 ," 2,5",5
torbjörn klockares gata 25,3700,2.0,6 800 000, 8 oktober 2021,8,100 000,vasastan,68 , 3,
karlbergsvägen 87b,2485,3.0,7 000 000, 8 oktober 2021,17,137 255,vasastan,51 , 2,
tomtebogatan 29,1928,2.0,4 500 000, 7 oktober 2021,,112 500,vasastan,40 , 2,
tulegatan 46,5728,3.0,9 900 000, 7 oktober 2021,10,88 393,vasastan,112 + 51 , 4,
observatoriegatan 9,2373,3.0,6 425 000, 7 oktober 2021,17,131 122,vasastan,49 , 2,2
karlbergsvägen 22,2640,2.0,6 250 000, 7 oktober 2021,±0,130 208,vasastan,48 , 2,
birger jarlsgatan 109,3765,1.0,9 500 000, 7 oktober 2021,16,115 854,vasastan,82 , 3,
sveavägen 126,2553,3.0,5 870 000, 7 oktober 2021,18,110 755,vasastan,53 , 2,5
rådmansgatan 39b,3926,3.0,12 250 000, 7 oktober 2021,4,125 000,vasastan,98 , 3,
birkagatan 16c,1741,2.0,3 450 000, 7 oktober 2021,10,101 471,vasastan,34 , 1,3
völundsgatan 1,1529,2.0,2 630 000, 7 oktober 2021,15,109 583,vasastan,24 , 1,
hälsingegatan 33,2609,,4 350 000, 7 oktober 2021,13,103 571,vasastan,42 , 1,5
karlbergsvägen 48,2225,3.0,6 450 000, 7 oktober 2021,8,111 207,vasastan,58 , 2,
atlasgatan 1,3175,2.0,8 625 000, 7 oktober 2021,,115 000,vasastan,75 , 3,
norrtullsgatan 31,4292,3.0,11 450 000, 7 oktober 2021,15,130 114,vasastan,88 , 4,
observatoriegatan 19,2563,3.0,5 200 000, 7 oktober 2021,±0,100 000,vasastan,52 , 2,
