,adress,fee,features,sale_price,sold_date,value_dev,ppsqm,district,size,rooms,floor,Latitude,Longitude,NearbyPOIs
2127,kungsholmstorg 11,2468,3.0,7200000, 17 november 2021,29,118033,kungsholmen,61,2,1.0,59.32789510326101,18.04229736328125,69.0
2128,maria sandels gränd 6,3761,3.0,7000000, 17 november 2021,12,100000,kungsholmen,70,3,2.0,59.333849245729375,18.042984008789062,68.0
2129,industrigatan 14,2281,2.0,3200000, 17 november 2021,7,88889,kungsholmen,36,1,1.0,55.5994821511292,13.02703857421875,1.0
2130,nordenflychtsvägen 62,1944,3.0,5950000, 17 november 2021,10,95968,kungsholmen,62,2,4.0,59.33805154166247,18.00933837890625,27.0
2131,kungsbro strand 21,3236,2.0,4000000, 16 november 2021,8,95238,kungsholmen,42,2,,59.330697182628576,18.050537109375,48.0
2132,igeldammsgatan 34,2052,,5000000, 16 november 2021,,125000,kungsholmen,40,2,4.0,59.33805154166247,18.0230712890625,15.0
2133,svarvargatan 12,1999,3.0,3725000, 16 november 2021,17,112879,kungsholmen,33,2,2.0,59.33735119510607,18.027877807617188,60.0
2134,ture nermans gränd 4,1112,2.0,5900000, 16 november 2021,24,122917,kungsholmen,48,2,,59.32964642994368,18.03062438964844,61.0
2135,kungsholms kyrkoplan 4,2518,3.0,6600000, 16 november 2021,32,126923,kungsholmen,52,2,,59.32929617182799,18.04916381835937,56.0
2136,wargentinsgatan 5a,2302,2.0,4510000, 16 november 2021,24,110000,kungsholmen,41,2,5.0,59.33279859052077,18.04023742675781,62.0
2137,franzéngatan 34,3970,3.0,7250000, 16 november 2021,7,87349,kungsholmen,83,3,2.0,59.33980234488247,18.007965087890625,26.0
2138,norr mälarstrand 34,4055,3.0,21000000, 16 november 2021,5,168000,kungsholmen,125,4,,59.32684426392564,18.04229736328125,54.0
2139,pilgatan 19a,4350,3.0,11000000, 15 november 2021,±0,120879,kungsholmen,91,3,4.0,59.32964642994368,18.03955078125,63.0
2140,pär lagerkvists gata 24,2632,3.0,4725000, 15 november 2021,18,90865,kungsholmen,52,2,5.0,59.33945219145792,18.006591796875,27.0
2141,parmmätargatan 9a,2101,2.0,6600000, 14 november 2021,,113793,kungsholmen,58,3,3.0,59.32894591010192,18.046417236328125,89.0
2142,celsiusgatan 4,1796,2.0,3400000, 12 november 2021,24,109677,kungsholmen,31,1,,59.33279859052077,18.038864135742188,48.0
2143,kungsklippan 11,1885,,2600000, 12 november 2021,18,108333,kungsholmen,24,1,,59.329996684449,18.047103881835938,84.0
2144,lagerlöfsgatan 8,1743,3.0,4800000, 12 november 2021,11,94118,kungsholmen,51,2,5.0,59.32964642994368,18.018951416015625,18.0
2145,john bergs plan 2,1703,3.0,3800000, 12 november 2021,19,100000,kungsholmen,38,2,3.0,59.33630064819755,18.0230712890625,13.0
2146,olof dalins väg 20,3251,3.0,4150000, 12 november 2021,±0,92222,kungsholmen,45,2,2.0,59.33630064819755,17.999038696289062,10.0
2147,inedalsgatan 15,1623,2.0,3160000, 12 november 2021,18,137391,kungsholmen,23,1,,59.33525006879975,18.036117553710938,67.0
2148,sankt eriksgatan 16a,1800,1.0,4700000, 12 november 2021,31,130556,kungsholmen,36,2,,59.330346935343954,18.03062438964844,75.0
2149,creutzgatan 1,1807,1.0,4200000, 11 november 2021,±0,105000,kungsholmen,40,2,3.0,59.33209813566427,18.01551818847656,24.0
2150,hantverkargatan 32,0,2.0,11400000, 11 november 2021,20,118750,kungsholmen,96,3,2.0,59.32929617182799,18.04161071777344,81.0
2151,lindhagensgatan 65,2459,,4225000, 11 november 2021,21,98256,kungsholmen,43,2,,59.33314881253376,18.01620483398437,20.0
2152,celsiusgatan 4,2338,3.0,4750000, 11 november 2021,19,115854,kungsholmen,41,2,5.0,59.33279859052077,18.038864135742188,48.0
2153,garvargatan 22,1820,2.0,4530000, 11 november 2021,19,102955,kungsholmen,44,2,2.0,59.3285956447654,18.04161071777344,69.0
2154,lindhagensgatan 137,3252,3.0,6800000, 10 november 2021,5,81928,kungsholmen,83,3,2.0,59.33840170952597,18.005905151367188,24.0
2155,pipersgatan 9,1825,2.0,4125000, 10 november 2021,23,111486,kungsholmen,37,1,3.0,59.329996684449,18.0450439453125,97.0
2156,kungsklippan 11,1885,2.0,2600000, 10 november 2021,18,108333,kungsholmen,24,1,,59.329996684449,18.047103881835938,84.0
2157,adlerbethsgatan 15,2543,1.0,4200000, 10 november 2021,5,91304,kungsholmen,46,2,,59.3310474263029,18.005905151367188,11.0
2158,pontonjärgatan 16,1954,2.0,3840000, 10 november 2021,28,120000,kungsholmen,32,2,,59.32894591010192,18.034744262695312,41.0
2159,ulriksborgsgatan 9,3741,3.0,6550000, 10 november 2021,13,92254,kungsholmen,71,3,6.0,59.33454966448465,18.017578125,19.0
2160,lidnersplan 16,1384,3.0,2815000, 10 november 2021,20,112600,kungsholmen,25,1,,59.33560026554231,17.997665405273438,7.0
2161,norr mälarstrand 78,955,2.0,3350000, 10 november 2021,26,139583,kungsholmen,24,1,5.0,59.3285956447654,18.02925109863281,47.0
2162,drottningholmsvägen 72,1419,2.0,2720000, 9 november 2021,-1,100741,kungsholmen,27,1,,59.33174790282072,18.016891479492188,23.0
2163,sven rinmans gata 4,1847,2.0,3201000, 9 november 2021,11,110379,kungsholmen,29,1,,59.32894591010192,18.03062438964844,55.0
2164,alströmergatan 32k,2204,,4275000, 9 november 2021,22,99419,kungsholmen,43,2,,59.33735119510607,18.02650451660156,38.0
2165,polhemsgatan 36,1603,3.0,4500000, 9 november 2021,33,118421,kungsholmen,38,1,,59.33314881253376,18.03817749023437,45.0
2166,john bergs plan 4,1534,2.0,3350000, 9 november 2021,12,88158,kungsholmen,38,2,,59.33630064819755,18.0230712890625,13.0
2167,rålambsvägen 54,2173,,3870000, 9 november 2021,17,94390,kungsholmen,41,2,,59.330346935343954,18.003158569335938,15.0
2168,hantverkargatan 79a,1274,2.0,5100000, 9 november 2021,16,110870,kungsholmen,46,2,2.0,59.3310474263029,18.03062438964844,88.0
2169,fridhemsgatan 8,1025,2.0,3280000, 9 november 2021,15,117143,kungsholmen,28,1,,59.330346935343954,18.02719116210937,54.0
2170,wivalliusgatan 11,1663,3.0,2850000, 8 november 2021,6,105556,kungsholmen,27,1,,59.32544309426369,18.01483154296875,12.0
2171,polhemsgatan 33,1621,,3500000, 8 november 2021,17,100000,kungsholmen,35,1,,59.33419945691206,18.03817749023437,37.0
2172,sysslomansgatan 26,2570,3.0,3800000, 7 november 2021,17,92683,kungsholmen,41,1,,59.330697182628576,18.023757934570312,19.0
2173,franzéngatan 45,3170,3.0,7600000, 7 november 2021,10,85393,kungsholmen,89,3,4.0,59.33945219145792,18.007278442382812,27.0
2174,alströmergatan 32k,2136,,4000000, 7 november 2021,18,102564,kungsholmen,39,1,,59.33735119510607,18.02650451660156,38.0
2175,fleminggatan 57,1232,2.0,3100000, 6 november 2021,24,106897,kungsholmen,29,1,,59.333849245729375,18.03749084472656,46.0
2176,harry martinsons gata 13,4040,3.0,9350000, 5 november 2021,9,101630,kungsholmen,92,4,,59.340152494697335,18.006591796875,27.0
2177,kungsholmsgatan 44,1845,,4950000, 5 november 2021,24,117857,kungsholmen,42,2,3.0,59.33209813566427,18.04023742675781,63.0
2178,fridhemsgatan 9,3063,2.0,7270000, 5 november 2021,12,103857,kungsholmen,70,3,6.0,59.330697182628576,18.02650451660156,52.0
2179,lidnersgatan 8,2759,3.0,3150000, 5 november 2021,17,92647,kungsholmen,34,1,,59.33525006879975,18.0010986328125,19.0
2180,fridhemsgatan 8,5268,3.0,12400000, 5 november 2021,4,119231,kungsholmen,104,3,,59.330346935343954,18.02719116210937,54.0
2181,drottningholmsvägen 3,1654,2.0,7050000, 5 november 2021,,113710,kungsholmen,62,2,,59.33174790282072,18.032684326171875,92.0
2182,polhemsgatan 38,4012,3.0,7050000, 4 november 2021,9,99296,kungsholmen,71,3,,59.33314881253376,18.03817749023437,45.0
2183,fleminggatan 40e,3054,2.0,5700000, 4 november 2021,14,85075,kungsholmen,67,3,2.0,59.33419945691206,18.0340576171875,83.0
2184,geijersvägen 6,2193,,3450000, 4 november 2021,15,86250,kungsholmen,40,2,3.0,59.33209813566427,18.014144897460938,20.0
2185,pipersgatan 26,5083,,13150000, 4 november 2021,10,109583,kungsholmen,120,4,,59.33174790282072,18.046417236328125,88.0
2186,ernst ahlgrens väg 7,2416,,3850000, 3 november 2021,,87500,kungsholmen,44,2,3.0,59.330346935343954,18.004531860351562,12.0
2187,kungsholmsgatan 11,3355,3.0,4400000, 3 november 2021,16,104762,kungsholmen,42,2,7.0,59.330697182628576,18.04847717285156,61.0
2188,fleminggatan 49,1371,3.0,4650000, 3 november 2021,±0,108140,kungsholmen,43,2,4.0,59.33349903093664,18.03817749023437,44.0
2189,kungsklippan 12,4083,2.0,3950000, 3 november 2021,±0,73148,kungsholmen,54,2,,59.329996684449,18.04847717285156,60.0
2190,kungsklippan 11,2663,2.0,2975000, 3 november 2021,8,95968,kungsholmen,31,2,,59.329996684449,18.047103881835938,84.0
2191,igeldammsgatan 22d,5118,2.0,10500000, 3 november 2021,,117978,kungsholmen,89,3,,59.33735119510607,18.024444580078125,21.0
2192,john ericssonsgatan 16,2624,3.0,4350000, 3 november 2021,21,108750,kungsholmen,40,2,,59.32929617182799,18.03817749023437,38.0
2193,frödingsvägen 6,2336,,4500000, 2 november 2021,,84906,kungsholmen,53,2,2.0,59.330697182628576,18.003158569335938,15.0
2194,svarvargatan 3,3266,2.0,7000000, 2 november 2021,13,97222,kungsholmen,72,3,3.0,59.33700101641311,18.02581787109375,30.0
2195,kungsgatan 80,2272,3.0,11600000, 2 november 2021,17,134884,kungsholmen,86,3,4.0,59.33174790282072,18.04847717285156,65.0
2196,norr mälarstrand 70,1096,2.0,3200000, 2 november 2021,11,103226,kungsholmen,31,1,,59.32824537581845,18.031997680664062,44.0
2197,stadshagsplan 10,1736,2.0,2760000, 2 november 2021,29,106154,kungsholmen,26,1,,59.33735119510607,18.021697998046875,11.0
2198,svarvargatan 3,1026,2.0,2800000, 2 november 2021,±0,127273,kungsholmen,22,1,,59.33700101641311,18.02581787109375,30.0
2199,arbetargatan 33f,3750,3.0,8200000, 2 november 2021,3,103797,kungsholmen,79,3,,59.33525006879975,18.028564453125,89.0
2200,elersvägen 44,3565,3.0,11750000, 2 november 2021,7,110849,kungsholmen,106,4,,59.33805154166247,18.002471923828125,16.0
2201,celsiusgatan 8,2291,3.0,4750000, 2 november 2021,19,113095,kungsholmen,42,2,5.0,59.33314881253376,18.03955078125,59.0
2202,celsiusgatan 8,2338,2.0,4300000, 2 november 2021,20,104878,kungsholmen,41,2,,59.33314881253376,18.03955078125,59.0
2203,rålambsvägen 8a,5709,3.0,8300000, 2 november 2021,6,79048,kungsholmen,105,4,1.0,59.3285956447654,18.01826477050781,17.0
2204,nordenflychtsvägen 62,3225,3.0,10600000, 2 november 2021,18,92174,kungsholmen,115,4,1.0,59.33805154166247,18.00933837890625,27.0
2205,fleminggatan 71,2325,2.0,3800000, 2 november 2021,12,100000,kungsholmen,38,2,4.0,59.333849245729375,18.034744262695312,78.0
2206,lindhagensgatan 141,4253,3.0,8000000, 1 november 2021,3,89888,kungsholmen,89,4,3.0,59.33910203442368,18.005218505859375,24.0
2207,baltzar von platens gata 6,3022,2.0,5500000, 1 november 2021,17,100000,kungsholmen,55,2,4.0,59.32894591010192,18.031997680664062,52.0
2208,karlsviksgatan 7,3917,2.0,6930000, 1 november 2021,16,88846,kungsholmen,78,2,,59.330346935343954,18.028564453125,73.0
2209,lustgårdsgatan 1,3355,3.0,6225000, 1 november 2021,11,98810,kungsholmen,63,3,7.0,59.33560026554231,18.013458251953125,29.0
2210,kungsholmsgatan 15,4104,3.0,9200000, 1 november 2021,8,91089,kungsholmen,101,4,1.0,59.330697182628576,18.04779052734375,72.0
2211,industrigatan 5,1171,3.0,4150000, 31 oktober 2021,24,115278,kungsholmen,36,2,3.0,59.33630064819755,18.03062438964844,99.0
2212,alströmergatan 49,1933,2.0,2700000, 31 oktober 2021,13,96429,kungsholmen,28,1,,59.33630064819755,18.02650451660156,44.0
2213,rålambsvägen 69,3083,2.0,3700000, 31 oktober 2021,16,75510,kungsholmen,49,2,,59.3310474263029,17.99835205078125,8.0
2214,inedalsgatan 9c våning 6 / 6,2430,3.0,6000000, 30 oktober 2021,4,92308,kungsholmen,65,2,,59.334899868447216,18.035430908203125,71.0
2215,wennerbergsgatan 6a,2360,3.0,4000000, 29 oktober 2021,14,85106,kungsholmen,47,2,,59.32754482709309,18.012771606445312,11.0
2216,lindhagensterrassen 9,3140,3.0,6500000, 29 oktober 2021,5,82278,kungsholmen,79,3,7.0,59.33525006879975,18.01483154296875,26.0
2217,sankt eriksgatan 9,3192,3.0,10500000, 29 oktober 2021,12,128049,kungsholmen,82,3,5.0,59.32964642994368,18.02925109863281,58.0
2218,lindhagensgatan 55,2047,2.0,3220000, 29 oktober 2021,8,87027,kungsholmen,37,2,,59.332448364897616,18.017578125,22.0
2219,lindhagensterrassen 9,3722,2.0,9000000, 29 oktober 2021,±0,92784,kungsholmen,97,4,9.0,59.33525006879975,18.01483154296875,26.0
2220,wennerbergsgatan 6b,3264,3.0,5500000, 29 oktober 2021,±0,84615,kungsholmen,65,3,5.0,59.32754482709309,18.0120849609375,16.0
2221,sankt göransgatan 64 b,1917,2.0,4400000, 29 oktober 2021,,112821,kungsholmen,39,2,5.0,59.33314881253376,18.032684326171875,93.0
2222,sankt eriksgatan 59 a,1008,3.0,4100000, 29 oktober 2021,24,128125,kungsholmen,32,2,,59.33630064819755,18.033370971679688,106.0
2223,drottningholmsvägen 48,1826,3.0,4200000, 29 oktober 2021,12,100000,kungsholmen,42,2,,59.33209813566427,18.022384643554688,16.0
2224,kungsklippan 12,3192,3.0,3820000, 28 oktober 2021,11,95500,kungsholmen,40,2,,59.329996684449,18.04847717285156,60.0
2225,fleminggatan 97,1052,2.0,3600000, 28 oktober 2021,20,109091,kungsholmen,33,1,1.0,59.33454966448465,18.029937744140625,94.0
2226,sankt eriksgatan 31a,0,2.0,2900000, 28 oktober 2021,8,103571,kungsholmen,28,1,,59.33279859052077,18.03131103515625,100.0
2227,lagerlöfsgatan 8,1743,3.0,4880000, 28 oktober 2021,2,93846,kungsholmen,52,2,3.0,59.32964642994368,18.018951416015625,18.0
2228,alströmergatan 32m,2335,,4505000, 28 oktober 2021,19,100111,kungsholmen,45,2,2.0,59.33700101641311,18.02650451660156,38.0
2229,karlsviksgatan 4,2132,3.0,4940000, 28 oktober 2021,24,117619,kungsholmen,42,2,3.0,59.32929617182799,18.027877807617188,58.0
2230,fleminggatan 54,589,2.0,2600000, 28 oktober 2021,30,130000,kungsholmen,20,1,2.0,59.334899868447216,18.03062438964844,96.0
2231,ernst ahlgrens väg 2,2349,1.0,3700000, 28 oktober 2021,-1,86047,kungsholmen,43,2,4.0,59.3310474263029,18.004531860351562,12.0
2232,runiusgatan 7,1633,2.0,3300000, 28 oktober 2021,18,86842,kungsholmen,38,2,2.0,59.32964642994368,18.008651733398438,13.0
2233,inedalsgatan 15,1398,2.0,2950000, 28 oktober 2021,18,147500,kungsholmen,20,1,,59.33525006879975,18.036117553710938,67.0
2234,hantverkargatan 46a,2550,1.0,6220000, 28 oktober 2021,14,117358,kungsholmen,53,2,,59.329996684449,18.03817749023437,41.0
2235,rålambsvägen 10b,4710,2.0,6320000, 28 oktober 2021,15,75238,kungsholmen,84,3,4.0,59.32894591010192,18.017578125,17.0
2236,fleminggatan 23,3473,3.0,15600000, 28 oktober 2021,5,125806,kungsholmen,124,4,4.0,59.33279859052077,18.044357299804688,85.0
2237,rålambsvägen 52,2260,1.0,3900000, 27 oktober 2021,6,95122,kungsholmen,41,2,,59.330346935343954,18.00384521484375,13.0
2238,baltzar von platens gata 7 c,1152,2.0,5650000, 27 oktober 2021,14,110784,kungsholmen,51,2,,59.32964642994368,18.03131103515625,61.0
2239,sankt eriksgatan 31b,0,3.0,5350000, 27 oktober 2021,20,102885,kungsholmen,52,3,3.0,59.33279859052077,18.03062438964844,101.0
2240,amarantergränd 1,3277,2.0,9000000, 27 oktober 2021,20,113924,kungsholmen,79,3,4.0,59.330697182628576,18.0450439453125,96.0
2241,pontonjärgatan 18,1570,2.0,3025000, 27 oktober 2021,12,116346,kungsholmen,26,1,,59.32894591010192,18.035430908203125,34.0
2242,rålambsvägen 69,2202,2.0,3300000, 27 oktober 2021,±0,91667,kungsholmen,36,2,,59.3310474263029,17.99835205078125,8.0
2243,geijersvägen 8,1894,,3500000, 27 oktober 2021,13,100000,kungsholmen,35,2,,59.33209813566427,18.014144897460938,20.0
2244,kungsholms strand 139,2705,3.0,5280000, 27 oktober 2021,12,97778,kungsholmen,54,2,5.0,59.33735119510607,18.03062438964844,94.0
2245,chapmansgatan 4,1203,2.0,3500000, 27 oktober 2021,17,116667,kungsholmen,30,2,,59.3285956447654,18.033370971679688,45.0
2246,lidnersplan 10,1645,3.0,3050000, 27 oktober 2021,18,108929,kungsholmen,28,1,,59.3359504586749,17.99835205078125,7.0
2247,stagneliusvägen 26,2468,3.0,3360000, 27 oktober 2021,12,96000,kungsholmen,35,2,3.0,59.32789510326101,18.010711669921875,13.0
2248,hornsbergs strand 85,4473,3.0,10100000, 27 oktober 2021,±0,112222,kungsholmen,90,3,5.0,59.33910203442368,18.004531860351562,21.0
2249,kungsklippan 11,2675,,3000000, 27 oktober 2021,1,96774,kungsholmen,31,2,,59.329996684449,18.047103881835938,84.0
2250,celsiusgatan 5,1868,2.0,3870000, 26 oktober 2021,17,104595,kungsholmen,37,2,3.0,59.33314881253376,18.038864135742188,49.0
2251,baltzar von platens gata 7c,1152,2.0,5250000, 26 oktober 2021,17,105000,kungsholmen,50,2,,59.32964642994368,18.03131103515625,61.0
2252,creutzgatan 7,1994,,3200000, 26 oktober 2021,8,86486,kungsholmen,37,1,4.0,59.332448364897616,18.01483154296875,24.0
2253,pipersgatan 3a,2419,1.0,5930000, 26 oktober 2021,20,126170,kungsholmen,47,2,3.0,59.32929617182799,18.044357299804688,90.0
2254,alströmergatan 35,2053,3.0,3360000, 26 oktober 2021,16,105000,kungsholmen,32,1,,59.33560026554231,18.029937744140625,102.0
2255,fridhemsgatan 12a,2364,2.0,5650000, 26 oktober 2021,23,108654,kungsholmen,52,2,,59.330697182628576,18.027877807617188,76.0
2256,lidnersgatan 5,3375,3.0,6900000, 26 oktober 2021,26,95833,kungsholmen,72,3,,59.33525006879975,18.000411987304688,16.0
2257,alströmergatan 32g,2202,3.0,3750000, 26 oktober 2021,±0,96154,kungsholmen,39,1,1.0,59.33735119510607,18.02581787109375,30.0
2258,alströmergatan 32 g,2224,2.0,4100000, 25 oktober 2021,±0,97619,kungsholmen,42,2,,59.33735119510607,18.02581787109375,30.0
2259,sankt eriksgatan 40,1036,2.0,8800000, 25 oktober 2021,10,97778,kungsholmen,90,4,6.0,59.33419945691206,18.032684326171875,89.0
2260,john ericssonsgatan 6,3121,2.0,4500000, 25 oktober 2021,7,100000,kungsholmen,45,2,1.0,59.32824537581845,18.03749084472656,23.0
2261,bergsgatan 53,2170,3.0,8800000, 25 oktober 2021,37,127536,kungsholmen,69,3,1.0,59.330697182628576,18.036117553710938,47.0
2262,industrigatan 16,1225,2.0,2560000, 25 oktober 2021,-5,106667,kungsholmen,24,1,6.0,59.33735119510607,18.028564453125,71.0
2263,drottningholmsvägen 13,3188,2.0,10800000, 24 oktober 2021,8,116129,kungsholmen,93,4,,59.33174790282072,18.03062438964844,97.0
2264,pipersgatan 14,2051,1.0,12210000, 22 oktober 2021,23,138750,kungsholmen,88,4,,59.330346935343954,18.045730590820312,94.0
2265,sankt eriksgatan 61,2769,3.0,10300000, 22 oktober 2021,22,130380,kungsholmen,79,3,3.0,59.33630064819755,18.0340576171875,107.0
2266,polhemsgatan 31,2968,2.0,6900000, 22 oktober 2021,15,102985,kungsholmen,67,2,5.0,59.333849245729375,18.03817749023437,42.0
2267,hantverkargatan 46,1400,,3300000, 22 oktober 2021,,117857,kungsholmen,28,1,,59.32964642994368,18.03817749023437,41.0
2268,john ericssonsgatan 11,2566,2.0,3800000, 22 oktober 2021,9,90476,kungsholmen,42,2,,59.32894591010192,18.03749084472656,27.0
2269,wennerbergsgatan 6a,1406,2.0,2750000, 22 oktober 2021,22,98214,kungsholmen,28,1,2.0,59.32754482709309,18.012771606445312,11.0
2270,creutzgatan 13,1990,,3480000, 22 oktober 2021,9,84878,kungsholmen,41,1,,59.33279859052077,18.014144897460938,20.0
2271,hantverkargatan 37,1628,2.0,4275000, 22 oktober 2021,17,101786,kungsholmen,42,2,1.0,59.32894591010192,18.04161071777344,77.0
2272,garvar lundins gränd 7,1888,,7425000, 22 oktober 2021,14,117857,kungsholmen,63,2,,59.32754482709309,18.043670654296875,63.0
2273,sysslomansgatan 8,4116,3.0,8440000, 22 oktober 2021,9,98140,kungsholmen,86,3,2.0,59.33139766636693,18.02650451660156,55.0
2274,baltzar von platens gata 1,2372,2.0,5450000, 21 oktober 2021,21,100926,kungsholmen,54,2,,59.3285956447654,18.03131103515625,48.0
2275,karlsviksgatan 7,3917,2.0,7695000, 21 oktober 2021,10,98654,kungsholmen,78,3,3.0,59.330346935343954,18.028564453125,73.0
2276,fleminggatan 40a,4464,2.0,8540000, 21 oktober 2021,31,83725,kungsholmen,102,4,,59.33454966448465,18.0340576171875,80.0
2277,sankt göransgatan 70,963,3.0,4170000, 21 oktober 2021,19,99286,kungsholmen,42,2,,59.33349903093664,18.03062438964844,97.0
2278,igeldammsgatan 24,3310,3.0,10000000, 21 oktober 2021,2,82645,kungsholmen,121,5,,59.3377013701892,18.024444580078125,21.0
2279,garvargatan 23,3123,3.0,9850000, 21 oktober 2021,10,123125,kungsholmen,80,3,4.0,59.32824537581845,18.04161071777344,67.0
2280,fleminggatan 40a,2232,2.0,4200000, 21 oktober 2021,9,87500,kungsholmen,48,2,,59.33454966448465,18.0340576171875,80.0
2281,södra agnegatan 20,1619,2.0,7160000, 21 oktober 2021,6,99444,kungsholmen,72,3,,59.32894591010192,18.04161071777344,77.0
2282,sankt eriksgatan 16,2650,1.0,5195000, 21 oktober 2021,11,98019,kungsholmen,53,2,2.0,59.330346935343954,18.03062438964844,75.0
2283,wivalliusgatan 11,5810,3.0,9865000, 21 oktober 2021,-1,85783,kungsholmen,115,5,,59.32544309426369,18.01483154296875,12.0
2284,kungsholms strand 183,2523,3.0,4800000, 21 oktober 2021,7,117073,kungsholmen,41,2,,59.3387518737797,18.022384643554688,8.0
2285,kungsklippan 11,3440,3.0,4025000, 20 oktober 2021,±0,85638,kungsholmen,47,2,3.0,59.329996684449,18.047103881835938,84.0
2286,rålambsvägen 72,2388,3.0,2950000, 20 oktober 2021,18,95161,kungsholmen,31,1,,59.33139766636693,17.999725341796875,13.0
2287,igeldammsgatan 38,1619,2.0,2800000, 20 oktober 2021,22,121739,kungsholmen,23,1,,59.33840170952597,18.022384643554688,10.0
2288,john ericssonsgatan 3,2907,3.0,5100000, 20 oktober 2021,13,127500,kungsholmen,40,2,,59.32789510326101,18.03680419921875,21.0
2289,sysslomansgatan 11,2665,3.0,4125000, 20 oktober 2021,12,95930,kungsholmen,43,2,6.0,59.330697182628576,18.025131225585938,27.0
2290,sankt eriksgatan 11,3664,2.0,9025000, 20 oktober 2021,17,103736,kungsholmen,87,3,5.0,59.329996684449,18.02925109863281,63.0
2291,kungsbro strand 21,4824,3.0,7250000, 20 oktober 2021,17,109848,kungsholmen,66,3,,59.330697182628576,18.050537109375,48.0
2292,creutzgatan 3,2125,4.0,5950000, 20 oktober 2021,32,108182,kungsholmen,55,2,,59.33209813566427,18.01551818847656,24.0
2293,love almqvists väg 4a - 4 tr,3042,3.0,3200000, 20 oktober 2021,14,84211,kungsholmen,38,2,,59.33454966448465,18.002471923828125,16.0
2294,kungsholmsgatan 18,3013,2.0,7150000, 20 oktober 2021,14,110000,kungsholmen,65,2,3.0,59.33139766636693,18.045730590820312,87.0
2295,lustgårdsgatan 1,3253,3.0,5200000, 20 oktober 2021,16,86667,kungsholmen,60,3,,59.33560026554231,18.013458251953125,29.0
2296,gambrinusgatan 5,2359,2.0,4250000, 20 oktober 2021,22,103659,kungsholmen,41,2,1.0,59.330346935343954,18.03749084472656,36.0
2297,fleminggatan 111,2001,2.0,3760000, 20 oktober 2021,26,98947,kungsholmen,38,1,,59.334899868447216,18.02719116210937,67.0
2298,polhemsgatan 36,895,2.0,2850000, 19 oktober 2021,16,109615,kungsholmen,26,1,,59.33314881253376,18.03817749023437,45.0
2299,garvar lundins gränd 10,4203,2.0,8000000, 19 oktober 2021,10,94118,kungsholmen,85,3,,59.32754482709309,18.043670654296875,63.0
2300,sankt göransgatan 64b,1438,3.0,2930000, 19 oktober 2021,22,122083,kungsholmen,24,1,2.0,59.33314881253376,18.032684326171875,93.0
2301,harry martinsons gata 10,2871,3.0,6100000, 19 oktober 2021,22,91045,kungsholmen,67,3,2.0,59.33980234488247,18.007278442382812,27.0
2302,karlsviksgatan 16,777,3.0,3750000, 19 oktober 2021,30,129310,kungsholmen,29,1,3.0,59.330697182628576,18.02925109863281,79.0
2303,ernst ahlgrens väg 3,2329,1.0,3600000, 19 oktober 2021,,83721,kungsholmen,43,2,,59.330697182628576,18.004531860351562,12.0
2304,john bergs plan 3,1837,3.0,2910000, 19 oktober 2021,17,107778,kungsholmen,27,1,4.0,59.33665083411027,18.022384643554688,12.0
2305,scheelegatan 3,3938,3.0,18500000, 19 oktober 2021,16,129371,kungsholmen,143,4,2.0,59.32929617182799,18.042984008789062,90.0
2306,norr mälarstrand 20,979,2.0,3200000, 19 oktober 2021,11,103226,kungsholmen,31,1,,59.32684426392564,18.046417236328125,61.0
2307,fleminggatan 61,2890,,6675000, 19 oktober 2021,26,115086,kungsholmen,58,2,,59.333849245729375,18.03680419921875,52.0
2308,franzéngatan 74,4371,2.0,8200000, 19 oktober 2021,±0,89130,kungsholmen,92,3,3.0,59.3387518737797,18.005218505859375,25.0
2309,kellgrensgatan 10,4982,3.0,7500000, 19 oktober 2021,7,85227,kungsholmen,88,4,3.0,59.33630064819755,18.01483154296875,25.0
2310,bergsgatan 51,2995,,7500000, 19 oktober 2021,±0,98684,kungsholmen,76,3,,59.330346935343954,18.03680419921875,39.0
2311,garvargatan 3,4935,,12950000, 19 oktober 2021,27,118807,kungsholmen,109,4,2.0,59.32789510326101,18.045730590820312,82.0
2312,scheelegatan 9,1866,,12600000, 19 oktober 2021,15,131250,kungsholmen,96,4,4.0,59.33174790282072,18.044357299804688,84.0
2313,industrigatan 7a,2533,3.0,3350000, 18 oktober 2021,29,104688,kungsholmen,32,1,,59.33630064819755,18.029937744140625,96.0
2314,kristinebergsvägen 12,3619,3.0,6500000, 18 oktober 2021,15,85526,kungsholmen,76,3,4.0,59.333849245729375,18.014144897460938,23.0
2315,arbetargatan 33e,2279,3.0,4850000, 18 oktober 2021,1,101042,kungsholmen,48,2,,59.33525006879975,18.028564453125,89.0
2316,kellgrensgatan 16,3310,3.0,4500000, 18 oktober 2021,13,72581,kungsholmen,62,2,,59.3359504586749,18.014144897460938,27.0
2317,pontonjärgatan 27,3555,3.0,11425000, 18 oktober 2021,27,117784,kungsholmen,97,3,5.0,59.32894591010192,18.031997680664062,52.0
2318,hornsbergs strand 15d,3950,3.0,7900000, 18 oktober 2021,13,100000,kungsholmen,79,4,4.0,59.33980234488247,18.014144897460938,14.0
2319,mariebergsgatan 30,4958,2.0,8800000, 16 oktober 2021,,81481,kungsholmen,108,4,,59.33454966448465,18.02581787109375,51.0
2320,ulriksborgsgatan 9,3916,3.0,6525000, 16 oktober 2021,13,87000,kungsholmen,75,3,,59.33454966448465,18.017578125,19.0
