adress,location,size:rooms,fee,features,sale_price,sold_date,value_dev,ppsqm,district
"torsgatan 42c, 4 tr","vasastan - sankt eriksplan, stockholms kommun","32,5 m²   1 rum",1 726 kr/mån,hiss,slutpris 3 635 000 kr,såld 18 mars 2021,+23 %,111 846 kr/m²,vasastan
upplandsgatan 34,"vasastan, stockholms kommun",65 m²   2 rum,2 804 kr/mån,hiss,slutpris 6 000 000 kr,såld 18 mars 2021,+9 %,92 308 kr/m²,vasastan
"vanadisvägen 31b, 1tr","vasastan, stockholms kommun","31,5 m²   1 rum",1 551 kr/mån,null,slutpris 3 460 000 kr,såld 18 mars 2021,+16 %,109 841 kr/m²,vasastan
roslagsgatan 6,"östermalm / vasastan, stockholms kommun",34 m²   2 rum,1 362 kr/mån,hiss,slutpris 4 000 000 kr,såld 18 mars 2021,+14 %,117 647 kr/m²,vasastan
"upplandsgatan 63 a, 1 tr","vasastan, stockholms kommun",80 m²   3 rum,3 069 kr/mån,balkong,slutpris 9 500 000 kr,såld 18 mars 2021,+6 %,118 750 kr/m²,vasastan
"tulegatan 32a, ½tr.","vasastan - sibirien, stockholms kommun",55 m²   2 rum,2 165 kr/mån,hiss,slutpris 5 350 000 kr,såld 17 mars 2021,+7 %,97 273 kr/m²,vasastan
"vanadisplan 1, 1,5tr","vasastan, stockholms kommun",45 m²   2 rum,1 822 kr/mån,hiss,slutpris 4 550 000 kr,såld 17 mars 2021,+14 %,101 111 kr/m²,vasastan
"birger jarlsgatan 113c, 1tr ög","vasastan - sibirien, stockholms kommun",57 m²   2 rum,2 304 kr/mån,balkong,slutpris 5 750 000 kr,såld 17 mars 2021,+11 %,100 877 kr/m²,vasastan
torsgatan 73,"vasastan, stockholms kommun",41 m²   2 rum,2 163 kr/mån,null,slutpris 3 850 000 kr,såld 17 mars 2021,+13 %,93 902 kr/m²,vasastan
"tegnérgatan 57a, 2 tr","vasastan, stockholms kommun",64 m²   3 rum,3 385 kr/mån,balkong&hiss,slutpris 6 650 000 kr,såld 17 mars 2021,+7 %,103 906 kr/m²,vasastan
markvardsgatan 6,"vasastan, stockholms kommun",94 m²   3 rum,4 189 kr/mån,balkong,slutpris 10 000 000 kr,såld 17 mars 2021,+5 %,106 383 kr/m²,vasastan
"dalagatan 72, 3 tr ö.g.","vasastan, stockholms kommun",23 m²   1 rum,1 400 kr/mån,balkong,slutpris 2 975 000 kr,såld 17 mars 2021,+1 %,129 348 kr/m²,vasastan
"kungstensgatan 53, 2 tr","vasastan, stockholms kommun",103 m²   3 rum,5 230 kr/mån,balkong&hiss,slutpris 12 250 000 kr,såld 17 mars 2021,+3 %,118 932 kr/m²,vasastan
"vanadisplan 2, 5+6 tr","vasastan, stockholms kommun","85 + 24 m²   3,5 rum",3 307 kr/mån,balkong&hiss,slutpris 10 800 000 kr,såld 17 mars 2021,+27 %,127 059 kr/m²,vasastan
frejgatan 44,"vasastan / odenplan, stockholms kommun",84 m²   3 rum,2 072 kr/mån,balkong&hiss,slutpris 9 700 000 kr,såld 17 mars 2021,+14 %,115 476 kr/m²,vasastan
"sonja kovalevskys gata 8, 9tr","vasastan - hagastaden, stockholms kommun",50 m²   2 rum,2 686 kr/mån,balkong&hiss,slutpris 5 200 000 kr,såld 17 mars 2021,+7 %,104 000 kr/m²,vasastan
"hagagatan 14, 1,5tr","vasastan odenplan, stockholms kommun",81 m²   3 rum,3 374 kr/mån,balkong&hiss,slutpris 9 600 000 kr,såld 17 mars 2021,+11 %,118 519 kr/m²,vasastan
tulegatan 35,"vasastan, stockholms kommun",41 m²   2 rum,1 206 kr/mån,hiss,slutpris 4 400 000 kr,såld 17 mars 2021,+22 %,107 317 kr/m²,vasastan
"hedemoratäppan 2, 3tr","vasastan, stockholms kommun",32 m²   1 rum,1 691 kr/mån,null,slutpris 3 420 000 kr,såld 17 mars 2021,+22 %,106 875 kr/m²,vasastan
roslagsgatan 15,"vasastan, stockholms kommun",101 m²   4 rum,4 539 kr/mån,balkong&hiss,slutpris 10 400 000 kr,såld 17 mars 2021,+10 %,102 970 kr/m²,vasastan
"observatoriegatan 7, 2 tr.","vasastan - odenplan, stockholms kommun",61 m²   2 rum,1 577 kr/mån,null,slutpris 6 800 000 kr,såld 16 mars 2021,+13 %,111 475 kr/m²,vasastan
"odengatan 75, 4tr","vasastan - odenplan, stockholms kommun",145 m²   4 rum,2 564 kr/mån,balkong&hiss,slutpris 21 000 000 kr,såld 16 mars 2021,+8 %,144 828 kr/m²,vasastan
"kungstensgatan 57, 4tr","vasastan - odenplan, stockholms kommun",34 m²   1 rum,1 106 kr/mån,balkong&hiss,slutpris 4 000 000 kr,såld 16 mars 2021,+25 %,117 647 kr/m²,vasastan
"sonja kovalevskys gata 4, 6tr","vasastan - hagastaden, stockholms kommun",64 m²   3 rum,3 307 kr/mån,balkong&hiss,slutpris 6 300 000 kr,såld 16 mars 2021,+10 %,98 438 kr/m²,vasastan
"völundsgatan 9, 1 tr mot innergård","vasastan, stockholms kommun","36 m²   1,5 rum",2 565 kr/mån,balkong&hiss,slutpris 4 200 000 kr,såld 16 mars 2021,+20 %,116 667 kr/m²,vasastan
"sankt eriksgatan 71, 5 tr.","vasastan, stockholms kommun",92 m²   3 rum,4 192 kr/mån,balkong&hiss,slutpris 10 750 000 kr,såld 16 mars 2021,+17 %,116 848 kr/m²,vasastan
"tomtebogatan 48b, 3.5tr","vasastan, stockholms kommun",58 m²   2 rum,2 293 kr/mån,balkong&hiss,slutpris 6 800 000 kr,såld 16 mars 2021,+13 %,117 241 kr/m²,vasastan
torbjörn klockares gata 19,"vasastan, stockholms kommun",37 m²   1 rum,2 454 kr/mån,null,slutpris 4 000 000 kr,såld 16 mars 2021,+18 %,108 108 kr/m²,vasastan
"rörstrandsgatan 23, 2 tr","vasastan, stockholms kommun",29 m²   1 rum,1 405 kr/mån,hiss,slutpris 2 800 000 kr,såld 16 mars 2021,+8 %,96 552 kr/m²,vasastan
norra stationsgatan 111,"vasastan, stockholms kommun",74 m²   3 rum,3 349 kr/mån,balkong&hiss,slutpris 6 200 000 kr,såld 16 mars 2021,+19 %,83 784 kr/m²,vasastan
"gästrikegatan 14a, 1tr ö.g","vasastan / vasaparken, stockholms kommun",60 m²   3 rum,2 855 kr/mån,balkong,slutpris 6 870 000 kr,såld 16 mars 2021,+15 %,114 500 kr/m²,vasastan
"norrbackagatan 25a, 3tr","vasastan, stockholms kommun",39 m²   2 rum,1 913 kr/mån,null,slutpris 3 600 000 kr,såld 16 mars 2021,+11 %,92 308 kr/m²,vasastan
luntmakargatan 74,"vasastan, stockholms kommun",19 m²   1 rum,1 140 kr/mån,hiss,slutpris 2 600 000 kr,såld 15 mars 2021,+18 %,136 842 kr/m²,vasastan
"dalagatan 25a, 4tr ög","vasastan, stockholms kommun",90 m²   4 rum,3 695 kr/mån,balkong&hiss,slutpris 11 050 000 kr,såld 15 mars 2021,+20 %,122 778 kr/m²,vasastan
bråvallagatan 8,"vasastan - birkastan, stockholms kommun",31 m²   1 rum,1 986 kr/mån,hiss,slutpris 3 050 000 kr,såld 15 mars 2021,±0 %,98 387 kr/m²,vasastan
"döbelnsgatan 60, 1tr","vasastan, stockholms kommun",60 m²   2 rum,2 336 kr/mån,hiss,slutpris 6 195 000 kr,såld 15 mars 2021,±0 %,103 250 kr/m²,vasastan
"roslagsgatan 9, 1,5tr","vasastan, stockholms kommun",49 m²   2 rum,2 048 kr/mån,hiss,slutpris 5 600 000 kr,såld 15 mars 2021,+10 %,114 286 kr/m²,vasastan
"torsgatan 70, 4tr","vasastaden, stockholms kommun",26 m²   1 rum,1 670 kr/mån,hiss,slutpris 2 825 000 kr,såld 15 mars 2021,+13 %,108 654 kr/m²,vasastan
"nina einhorns gata 1, 5 tr","vasastan, stockholms kommun",42 m²   2 rum,2 364 kr/mån,balkong&hiss,slutpris 4 100 000 kr,såld 15 mars 2021,+8 %,97 619 kr/m²,vasastan
"gästrikegatan 5a, 3 tr","vasastan, stockholms kommun",52 m²   2 rum,1 621 kr/mån,balkong,slutpris 6 675 000 kr,såld 15 mars 2021,+22 %,128 365 kr/m²,vasastan
"tulegatan 31 b, 2 tr","vasastan, stockholms kommun",52 m²   2 rum,2 617 kr/mån,null,slutpris 6 200 000 kr,såld 15 mars 2021,+13 %,119 231 kr/m²,vasastan
rörstrandsgatan 17,"birkastan, stockholms kommun","103,2 m²   3,5 rum",3 448 kr/mån,null,slutpris 13 000 000 kr,såld 15 mars 2021,+18 %,125 969 kr/m²,vasastan
bråvallagatan 5,"birkastan vasastan, stockholms kommun",42 m²   2 rum,2 590 kr/mån,null,slutpris 4 100 000 kr,såld 15 mars 2021,+3 %,97 619 kr/m²,vasastan
ynglingagatan 19,"vasastan, stockholms kommun",35 m²   2 rum,1 839 kr/mån,hiss,slutpris 3 850 000 kr,såld 15 mars 2021,+13 %,110 000 kr/m²,vasastan
"nina einhorns gata 1,4 tr","hagastaden, stockholms kommun","37,5 m²   2 rum",2 447 kr/mån,balkong&hiss,slutpris 3 950 000 kr,såld 15 mars 2021,-1 %,105 333 kr/m²,vasastan
sankt eriksgatan 85d,"vasastan, stockholms kommun","41 m²   1,5 rum",855 kr/mån,hiss,slutpris 4 100 000 kr,såld 14 mars 2021,+19 %,100 000 kr/m²,vasastan
observatoriegatan 7,"vasastan - odenplan, stockholms kommun",48 m²   2 rum,1 248 kr/mån,balkong,slutpris 6 000 000 kr,såld 14 mars 2021,+17 %,125 000 kr/m²,vasastan
"upplandsgatan 28, 1tr","vasastan odenplan, stockholms kommun",77 m²   4 rum,4 015 kr/mån,hiss,slutpris 7 150 000 kr,såld 14 mars 2021,+6 %,92 857 kr/m²,vasastan
karlbergsvägen 25b,"vasastan, stockholms kommun",35 m²   1 rum,1 608 kr/mån,balkong,slutpris 4 978 000 kr,såld 13 mars 2021,+1 %,142 229 kr/m²,vasastan
karlbergsvägen 25b,"vasastan, stockholms kommun",35 m²   1 rum,1 608 kr/mån,nyproduktion,slutpris 4 950 000 kr,såld 13 mars 2021,±0 %,141 429 kr/m²,vasastan
"norrbackagatan 23, 5 tr","vasastan, stockholms kommun","103,5 m²   4 rum",4 215 kr/mån,null,slutpris 7 650 000 kr,såld 12 mars 2021,±0 %,73 913 kr/m²,vasastan
"hagagatan 18a, 2tr","vasastan, stockholms kommun",50 m²   2 rum,2 463 kr/mån,balkong,slutpris 6 200 000 kr,såld 12 mars 2021,+24 %,124 000 kr/m²,vasastan
"döbelnsgatan 95, 2tr","vasastan, stockholms kommun","43,5 m²   2 rum",1 105 kr/mån,hiss,slutpris 4 480 000 kr,såld 12 mars 2021,+7 %,102 989 kr/m²,vasastan
"gävlegatan 36b, 4 tr","hagastaden vasastan, stockholms kommun",33 m²   2 rum,1 982 kr/mån,hiss,slutpris 3 700 000 kr,såld 12 mars 2021,±0 %,112 121 kr/m²,vasastan
"observatoriegatan 7, 2&3tr","vasastan, stockholms kommun",66 m²   3 rum,1 662 kr/mån,balkong,slutpris 7 605 000 kr,såld 12 mars 2021,+9 %,115 227 kr/m²,vasastan
torsgatan 74,"vasastan, stockholms kommun",72 m²   2 rum,3 893 kr/mån,hiss,slutpris 5 500 000 kr,såld 12 mars 2021,±0 %,76 389 kr/m²,vasastan
tegnérgatan 19,"norrmalm/vasastan, stockholms kommun",51 m²   2 rum,2 260 kr/mån,hiss,slutpris 5 400 000 kr,såld 12 mars 2021,+8 %,105 882 kr/m²,vasastan
"robert almströmsgatan 12, 3 tr","vasastan birkastan, stockholms kommun",40 m²   2 rum,1 944 kr/mån,balkong&hiss,slutpris 5 310 000 kr,såld 12 mars 2021,+36 %,132 750 kr/m²,vasastan
"tulegatan 43, 6tr","vasastan / sibirien, stockholms kommun",60 m²   2 rum,2 397 kr/mån,balkong&hiss,slutpris 5 800 000 kr,såld 12 mars 2021,+16 %,96 667 kr/m²,vasastan
"karlbergsvägen 30, vån 4","vasastan odenplan, stockholms kommun",44 m²   2 rum,1 601 kr/mån,hiss,slutpris 5 060 000 kr,såld 11 mars 2021,+27 %,115 000 kr/m²,vasastan
"torsplan 8, vån 17","hagastaden, stockholms kommun",85 m²   4 rum,4 909 kr/mån,balkong&hiss,slutpris 11 300 000 kr,såld 11 mars 2021,±0 %,132 941 kr/m²,vasastan
"atlasgatan 3, 3tr","vasastan - atlas, stockholms kommun",65 m²   3 rum,2 966 kr/mån,hiss,slutpris 7 950 000 kr,såld 11 mars 2021,+6 %,122 308 kr/m²,vasastan
"karlbergsvägen 51a, 3 tr ög","stockholm, stockholms kommun",55 m²   2 rum,2 656 kr/mån,balkong,slutpris 6 550 000 kr,såld 11 mars 2021,+20 %,119 091 kr/m²,vasastan
"emmy rappes gata 3, 8 tr","vasastan/hagastan, stockholms kommun",40 m²   2 rum,2 381 kr/mån,hiss,slutpris 4 200 000 kr,såld 11 mars 2021,±0 %,105 000 kr/m²,vasastan
"roslagsgatan 33b, 4 tr","vasastan - sibirien, stockholms kommun",43 m²   2 rum,1 926 kr/mån,hiss,slutpris 4 625 000 kr,såld 11 mars 2021,+10 %,107 558 kr/m²,vasastan
"tomtebogatan 32a, högst upp","birkastan - vasastan, stockholms kommun",57 m²   2 rum,2 969 kr/mån,balkong&hiss,slutpris 7 025 000 kr,såld 11 mars 2021,+20 %,123 246 kr/m²,vasastan
norrbackagatan 30,"birkastan, stockholms kommun",53 m²   2 rum,1 959 kr/mån,hiss,slutpris 5 850 000 kr,såld 11 mars 2021,+13 %,110 377 kr/m²,vasastan
"nina einhorns gata 1, vån 3","hagastaden, stockholms kommun","37,5 m²   2 rum",2 172 kr/mån,hiss,slutpris 3 810 000 kr,såld 10 mars 2021,+9 %,101 600 kr/m²,vasastan
"idungatan 6, 2 tr","vasastan, stockholms kommun",53 m²   2 rum,1 945 kr/mån,balkong,slutpris 5 650 000 kr,såld 10 mars 2021,+9 %,106 604 kr/m²,vasastan
"frejgatan 53, 1 tr","vasastan, stockholms kommun","40,5 m²   2 rum",1 951 kr/mån,balkong&hiss,slutpris 5 150 000 kr,såld 10 mars 2021,+31 %,127 160 kr/m²,vasastan
"torsgatan 25, 3tr","vasastan - s:t eriksplan, stockholms kommun",37 m²   2 rum,1 783 kr/mån,hiss,slutpris 4 300 000 kr,såld 10 mars 2021,+16 %,116 216 kr/m²,vasastan
"rödabergsgatan 9a, 4tr","vasastan - röda bergen, stockholms kommun",35 m²   1 rum,2 140 kr/mån,null,slutpris 3 420 000 kr,såld 10 mars 2021,+7 %,97 714 kr/m²,vasastan
"vanadisvägen 26b, 5tr","vasastan, stockholms kommun",41 m²   2 rum,1 649 kr/mån,hiss,slutpris 4 460 000 kr,såld 10 mars 2021,+24 %,108 780 kr/m²,vasastan
"västmannagatan 71b , vån 4","vasastaden, stockholms kommun",71 m²   2 rum,2 460 kr/mån,balkong&hiss,slutpris 8 500 000 kr,såld 10 mars 2021,+13 %,119 718 kr/m²,vasastan
"dalagatan 86e, 1,5 tr","vasastan, stockholms kommun",41 m²   1 rum,2 366 kr/mån,hiss,slutpris 4 025 000 kr,såld 10 mars 2021,+15 %,98 171 kr/m²,vasastan
"rådmansgatan 46, 5tr","vasastan, stockholms kommun",41 m²   2 rum,2 646 kr/mån,balkong&hiss,slutpris 4 100 000 kr,såld 10 mars 2021,+3 %,100 000 kr/m²,vasastan
"norrbackagatan 60, 2tr","vasastan, stockholms kommun",48 m²   2 rum,2 596 kr/mån,hiss,slutpris 4 800 000 kr,såld 10 mars 2021,+12 %,100 000 kr/m²,vasastan
"västmannagatan 27a, 2 tr ög","vasastan, stockholms kommun",56 m²   2 rum,1 520 kr/mån,balkong,slutpris 6 385 000 kr,såld 10 mars 2021,+22 %,114 018 kr/m²,vasastan
"völundsgatan 10, 1 tr","vasastan, stockholms kommun",24 m²   1 rum,1 652 kr/mån,hiss,slutpris 2 725 000 kr,såld 10 mars 2021,+14 %,113 542 kr/m²,vasastan
dalagatan 86 h,"vasastan, stockholms kommun",49 m²   2 rum,2 886 kr/mån,hiss,slutpris 5 075 000 kr,såld 10 mars 2021,+15 %,103 571 kr/m²,vasastan
"gästrikegatan 5 a, 2 tr","vasastan, stockholms kommun",52 m²   2 rum,1 621 kr/mån,balkong,slutpris 6 250 000 kr,såld 10 mars 2021,+18 %,120 192 kr/m²,vasastan
"sankt eriksgatan 64, 6tr","vasastan, stockholms kommun","125,2 m²   5 rum",4 415 kr/mån,hiss,slutpris 12 300 000 kr,såld 10 mars 2021,+3 %,98 243 kr/m²,vasastan
sigtunagatan 13a,"vasastan - vasaparken, stockholms kommun","55,3 m²   2 rum",1 937 kr/mån,balkong,slutpris 6 600 000 kr,såld 10 mars 2021,+20 %,119 349 kr/m²,vasastan
"tegnérgatan 55d, 4 + 5 tr","vasastan, stockholms kommun",41 + 1 m²   2 rum,2 769 kr/mån,balkong&hiss,slutpris 6 100 000 kr,såld 10 mars 2021,+11 %,148 780 kr/m²,vasastan
"vulcanusgatan 10, 4 tr","atlasområdet, stockholms kommun",34 m²   2 rum,1 792 kr/mån,hiss,slutpris 3 900 000 kr,såld 10 mars 2021,+12 %,114 706 kr/m²,vasastan
hagagränd 2,"vasastan - odenplan, stockholms kommun",48 m²   2 rum,2 142 kr/mån,balkong,slutpris 5 800 000 kr,såld 9 mars 2021,+12 %,120 833 kr/m²,vasastan
"roslagsgatan 39, 1 tr","vasastan, stockholms kommun",73 m²   2 rum,2 851 kr/mån,balkong,slutpris 7 950 000 kr,såld 9 mars 2021,+17 %,108 904 kr/m²,vasastan
"birkagatan 32, 3tr","birkastan vasastan, stockholms kommun",72 m²   3 rum,1 478 kr/mån,hiss,slutpris 7 575 000 kr,såld 9 mars 2021,+9 %,105 208 kr/m²,vasastan
tomtebogatan 5c,"vasastan, stockholms kommun",74 m²   3 rum,1 241 kr/mån,hiss,slutpris 8 100 000 kr,såld 9 mars 2021,+13 %,109 459 kr/m²,vasastan
"rörstrandsgatan 42a, 1 tr","vasastan, stockholms kommun",57 m²   2 rum,2 188 kr/mån,balkong,slutpris 6 125 000 kr,såld 9 mars 2021,+14 %,107 456 kr/m²,vasastan
"dalagatan 39 b, 3 tr","vasastan, stockholms kommun",67 m²   3 rum,3 033 kr/mån,hiss,slutpris 8 150 000 kr,såld 9 mars 2021,±0 %,121 642 kr/m²,vasastan
"teknologgatan 9 d, 2 tr","vasastan, stockholms kommun",47 m²   2 rum,2 081 kr/mån,balkong,slutpris 4 975 000 kr,såld 9 mars 2021,+11 %,105 851 kr/m²,vasastan
"norrtullsgatan 30, 3tr","vasastan, stockholms kommun",33 m²   1 rum,1 812 kr/mån,hiss,slutpris 3 310 000 kr,såld 9 mars 2021,+14 %,100 303 kr/m²,vasastan
gävlegatan 36b vån 3,"hagastaden - vasastan, stockholms kommun",30 m²   1 rum,1 834 kr/mån,hiss,slutpris 3 450 000 kr,såld 9 mars 2021,±0 %,115 000 kr/m²,vasastan
heimdalsgatan 8,"vasastan, stockholms kommun",60 m²   2 rum,2 220 kr/mån,null,slutpris 6 900 000 kr,såld 9 mars 2021,+15 %,115 000 kr/m²,vasastan
"robert almströmsgatan 6, 1,5tr","vasastan - birkastan, stockholms kommun","62 m²   2,5 rum",3 578 kr/mån,balkong&hiss,slutpris 7 150 000 kr,såld 8 mars 2021,+19 %,115 323 kr/m²,vasastan
"västmannagatan 39, 4tr","vasastan odenplan, stockholms kommun",75 m²   3 rum,3 170 kr/mån,balkong&hiss,slutpris 9 800 000 kr,såld 8 mars 2021,+14 %,130 667 kr/m²,vasastan
"sigtunagatan 19, 4 tr","vasastan, stockholms kommun",37 m²   2 rum,1 609 kr/mån,hiss,slutpris 4 750 000 kr,såld 8 mars 2021,+23 %,128 378 kr/m²,vasastan
upplandsgatan 67a,"vasastan, stockholms kommun",75 m²   3 rum,3 811 kr/mån,null,slutpris 9 725 000 kr,såld 8 mars 2021,±0 %,129 667 kr/m²,vasastan
ynglingagatan 15,"vasastan, stockholms kommun","105 m²   3,5 rum",4 900 kr/mån,null,slutpris 10 000 000 kr,såld 8 mars 2021,+5 %,95 238 kr/m²,vasastan
odengatan 92,"vasastan, stockholms kommun",127 + 14 m²   5 rum,2 726 kr/mån,balkong&hiss,slutpris 18 000 000 kr,såld 8 mars 2021,±0 %,141 732 kr/m²,vasastan
"sveavägen 136, 3 tr","vasastan, stockholms kommun",80 m²   3 rum,2 667 kr/mån,balkong&hiss,slutpris 7 850 000 kr,såld 7 mars 2021,-2 %,98 125 kr/m²,vasastan
dalagatan 74 b,"vasastan, stockholms kommun",60 m²   2 rum,3 084 kr/mån,balkong,slutpris 6 760 000 kr,såld 7 mars 2021,+13 %,112 667 kr/m²,vasastan
"rörstrandsgatan 64, 5tr","vasastan - birkastan, stockholms kommun",25 m²   2 rum,761 kr/mån,hiss,slutpris 3 375 000 kr,såld 6 mars 2021,+13 %,135 000 kr/m²,vasastan
"tomtebogatan 34, 3tr","vasastan - birkastan, stockholms kommun","73 m²   2,5 rum",3 063 kr/mån,balkong&hiss,slutpris 8 000 000 kr,såld 6 mars 2021,+16 %,109 589 kr/m²,vasastan
rörstrandsgatan 58,"vasastan - birkastan, stockholms kommun",67 m²   3 rum,2 757 kr/mån,hiss,slutpris 6 800 000 kr,såld 5 mars 2021,+8 %,101 493 kr/m²,vasastan
torsplan 10,"hagastaden, stockholms kommun",80 m²   3 rum,4 949 kr/mån,hiss,slutpris 11 500 000 kr,såld 5 mars 2021,+15 %,143 750 kr/m²,vasastan
"vulcanusgatan 10, 3 tr","vasastan atlas, stockholms kommun",34 m²   1 rum,1 792 kr/mån,hiss,slutpris 3 660 000 kr,såld 5 mars 2021,+20 %,107 647 kr/m²,vasastan
"hagagatan 35, 4tr","vasastan, stockholms kommun",67 m²   2 rum,1 619 kr/mån,balkong,slutpris 6 700 000 kr,såld 5 mars 2021,+12 %,100 000 kr/m²,vasastan
karlbergsvägen 76,"birkastan, stockholms kommun",61 m²   3 rum,2 073 kr/mån,balkong&hiss,slutpris 5 600 000 kr,såld 5 mars 2021,+8 %,91 803 kr/m²,vasastan
gävlegatan 7,"vasastan, stockholms kommun",38 m²   2 rum,1 452 kr/mån,null,slutpris 4 125 000 kr,såld 5 mars 2021,+10 %,108 553 kr/m²,vasastan
luntmakargatan 63,"vasastan/norrmalm, stockholms kommun",35 m²   1 rum,1 212 kr/mån,balkong&hiss,slutpris 3 530 000 kr,såld 5 mars 2021,+18 %,100 857 kr/m²,vasastan
sigtunagatan 18,"vasastan, stockholms kommun",32 m²   1 rum,1 214 kr/mån,hiss,slutpris 3 400 000 kr,såld 5 mars 2021,±0 %,106 250 kr/m²,vasastan
"västmannagatan 61a, ö.g 1 tr","vasastan - odenplan, stockholms kommun",56 m²   2 rum,2 139 kr/mån,null,slutpris 6 200 000 kr,såld 4 mars 2021,+11 %,110 714 kr/m²,vasastan
karlbergsvägen 87 a,"vasastan - birkastan, stockholms kommun",32 m²   1 rum,1 607 kr/mån,hiss,slutpris 3 325 000 kr,såld 4 mars 2021,+13 %,103 906 kr/m²,vasastan
"bråvallagatan 7, bv","birkastan, stockholms kommun","42,1 m²   2 rum",2 461 kr/mån,hiss,slutpris 4 150 000 kr,såld 4 mars 2021,+9 %,98 575 kr/m²,vasastan
"ingemarsgatan 3b, 4tr","vasastan/östermalm, stockholms kommun",35 m²   2 rum,1 749 kr/mån,hiss,slutpris 3 650 000 kr,såld 4 mars 2021,+11 %,104 286 kr/m²,vasastan
rödabergsbrinken 7,"vasastan, stockholms kommun",50 m²   2 rum,1 611 kr/mån,null,slutpris 5 000 000 kr,såld 4 mars 2021,+19 %,100 000 kr/m²,vasastan
"tomtebogatan 23a, 4 tr","vasastan, stockholms kommun",56 m²   2 rum,1 700 kr/mån,balkong&hiss,slutpris 7 600 000 kr,såld 4 mars 2021,±0 %,135 714 kr/m²,vasastan
torsgatan 42,"vasastan, stockholms kommun","40,5 m²   2 rum",2 006 kr/mån,hiss,slutpris 3 940 000 kr,såld 4 mars 2021,+7 %,97 284 kr/m²,vasastan
"gävlegatan 26, vån 6","hagastaden, stockholms kommun",40 m²   2 rum,2 000 kr/mån,balkong&hiss,slutpris 4 100 000 kr,såld 4 mars 2021,+5 %,102 500 kr/m²,vasastan
rörstrandsgatan 25,"vasastan/birkastan, stockholms kommun",67 m²   3 rum,2 120 kr/mån,hiss,slutpris 6 300 000 kr,såld 4 mars 2021,+13 %,94 030 kr/m²,vasastan
upplandsgatan 71,"vasastan, stockholms kommun",79 m²   3 rum,2 375 kr/mån,hiss,slutpris 9 100 000 kr,såld 4 mars 2021,+2 %,115 190 kr/m²,vasastan
"dalagatan 86 d, 3 tr","vasastan, stockholms kommun",37 m²   2 rum,2 204 kr/mån,hiss,slutpris 3 860 000 kr,såld 4 mars 2021,+10 %,104 324 kr/m²,vasastan
"norrbackagatan 5, nb","birkastan, stockholms kommun","23,6 m²   1 rum",969 kr/mån,null,slutpris 2 560 000 kr,såld 4 mars 2021,+14 %,108 475 kr/m²,vasastan
"vulcanusgatan 9, 5 tr","vasastan, stockholms kommun",49 m²   2 rum,2 899 kr/mån,balkong&hiss,slutpris 7 300 000 kr,såld 3 mars 2021,+39 %,148 980 kr/m²,vasastan
"gästrikegatan 14a, 2tr ög.","birkastan vasastan, stockholms kommun",37 m²   1 rum,1 806 kr/mån,balkong,slutpris 4 300 000 kr,såld 3 mars 2021,+24 %,116 216 kr/m²,vasastan
vanadisvägen 5,"vasastan, stockholms kommun",46 m²   2 rum,2 773 kr/mån,hiss,slutpris 4 100 000 kr,såld 3 mars 2021,+8 %,89 130 kr/m²,vasastan
"frejgatan 54, 2 tr","vasastan, stockholms kommun",34 m²   2 rum,1 989 kr/mån,hiss,slutpris 4 030 000 kr,såld 3 mars 2021,+19 %,118 529 kr/m²,vasastan
"bråvallagatan 7, 1,5 tr","vasastan - birkastan, stockholms kommun","39 m²   1,5 rum",2 360 kr/mån,balkong&hiss,slutpris 4 385 000 kr,såld 3 mars 2021,+16 %,112 436 kr/m²,vasastan
"robert almströmsgatan 5, 4tr","vasastan/birkastan, stockholms kommun",69 m²   2 rum,2 957 kr/mån,hiss,slutpris 6 600 000 kr,såld 3 mars 2021,+7 %,95 652 kr/m²,vasastan
"birkagatan 16c, 2 tr","vasastan/ birkastan, stockholms kommun",34 m²   2 rum,1 741 kr/mån,balkong&hiss,slutpris 3 750 000 kr,såld 2 mars 2021,+17 %,110 294 kr/m²,vasastan
dalagatan 68 b,"vasastaden, stockholms kommun",42 m²   2 rum,2 472 kr/mån,null,slutpris 5 052 000 kr,såld 2 mars 2021,+15 %,120 286 kr/m²,vasastan
"torsplan 8, vån 21","vasastaden, stockholms kommun",98 m²   5 rum,5 500 kr/mån,balkong&hiss,slutpris 12 950 000 kr,såld 2 mars 2021,±0 %,132 143 kr/m²,vasastan
norrtullsgatan 63,"vasastan - norrtull, stockholms kommun",56 m²   2 rum,2 800 kr/mån,balkong&hiss,slutpris 5 500 000 kr,såld 2 mars 2021,+25 %,98 214 kr/m²,vasastan
"sonja kovalevskys gata 3, 3tr","hagastaden, stockholms kommun",49 m²   2 rum,2 450 kr/mån,null,slutpris 5 050 000 kr,såld 2 mars 2021,±0 %,103 061 kr/m²,vasastan
"sveavägen 122, 4tr","vasastan, stockholms kommun",23 m²   1 rum,1 114 kr/mån,hiss,slutpris 2 700 000 kr,såld 2 mars 2021,+23 %,117 391 kr/m²,vasastan
rödabergsbrinken 12,"vasastan, stockholms kommun",30 m²   1 rum,1 691 kr/mån,null,slutpris 3 250 000 kr,såld 2 mars 2021,+18 %,108 333 kr/m²,vasastan
"robert almströmsgatan 9a, 4tr","vasastan - birkastan, stockholms kommun",76 m²   3 rum,3 166 kr/mån,hiss,slutpris 8 500 000 kr,såld 2 mars 2021,+22 %,111 842 kr/m²,vasastan
