adress,fee,features,sale_price,sold_date,value_dev,ppsqm,district,size,rooms,floor
sankt eriksplan 17,1545,2.0,3650000, 3 december 2021,11,114063,vasastan,32,1,3
hagagatan 1,2742,2.0,5350000, 3 december 2021,14,89167,vasastan,60,2,4
torsplan 8,4611,3.0,10350000, 3 december 2021,4,131013,vasastan,79,3,9
roslagsgatan 54,1923,2.0,3415000, 3 december 2021,34,131346,vasastan,26,1,3
hälsingegatan 14c,1981,2.0,7600000, 2 december 2021,10,111765,vasastan,68,2,
sankt eriksplan 15,1512,2.0,4300000, 2 december 2021,13,116216,vasastan,37,2,
tomtebogatan 1a,1100,2.0,4700000, 2 december 2021,4,100000,vasastan,47,1,2
norrbackagatan 16,1204,2.0,2720000, 2 december 2021,14,123636,vasastan,22,1,
rörstrandsgatan 64,1890,3.0,8600000, 2 december 2021,15,122857,vasastan,70,3,
karlbergsvägen 87a,2895,3.0,7500000, 2 december 2021,14,125000,vasastan,60,2,4
torsgatan 38a ,3914,2.0,11500000, 2 december 2021,7,121053,vasastan,95,4,
dalagatan 86h,2204,3.0,4850000, 2 december 2021,14,131081,vasastan,37,2,
karlbergsvägen 43 a,1885,3.0,8062500, 2 december 2021,12,130040,vasastan,62,2,
dalagatan 35a,2538,3.0,6100000, 1 december 2021,6,115094,vasastan,53,2,
sveavägen 133,3737,2.0,6350000, 1 december 2021,1,88194,vasastan,72,2,1
rödabergsgatan 5,4311,,9550000, 1 december 2021,9,104945,vasastan,91,3,
dalagatan 86e,2204,2.0,3875000, 1 december 2021,12,104730,vasastan,37,1,4
rörstrandsgatan 32,4847,,16600000, 1 december 2021,11,123881,vasastan,134,5,
sigtunagatan 4,422,2.0,2400000, 1 december 2021,2,218182,vasastan,11,1,
karlbergsvägen 11,3363,2.0,10800000, 30 november 2021,11,133333,vasastan,81,3,
torsgatan 46,2567,3.0,16200000, 30 november 2021,25,147273,vasastan,110,4,4
birkagatan 14,1418,3.0,9000000, 30 november 2021,13,142857,vasastan,63,3,
tomtebogatan 11,2749,,9250000, 30 november 2021,19,130282,vasastan,71,2,
ingemarsgatan 3b,1749,2.0,4300000, 30 november 2021,23,122857,vasastan,35,2,5
sveavägen 121a,2991,,6835000, 30 november 2021,24,119912,vasastan,57,2,4
döbelnsgatan 53a,2040,1.0,8250000, 30 november 2021,22,144737,vasastan,57,2,3
tulegatan 23 b,2869,,10700000, 30 november 2021,13,137179,vasastan,78,3,2
frejgatan 37,3477,3.0,6725000, 29 november 2021,4,100373,vasastan,67,2,3
torsplan 8,6226,3.0,11500000, 29 november 2021,-1,100877,vasastan,114,5,3
robert almströmsgatan 10,3826,3.0,13400000, 29 november 2021,19,139583,vasastan,96,3,4
völundsgatan 10,1670,2.0,3150000, 29 november 2021,9,131250,vasastan,24,1,
torbjörn klockares gata 14,1259,,3100000, 28 november 2021,7,106897,vasastan,29,1,
robert almströmsgatan 12,1982,2.0,5225000, 28 november 2021,23,127439,vasastan,41,2,4
sankt eriksgatan 92,3884,3.0,10500000, 26 november 2021,21,125000,vasastan,84,3,5
tomtebogatan 13b,1938,1.0,5100000, 26 november 2021,13,124390,vasastan,41,2,
birger jarlsgatan 125,2144,2.0,4730000, 25 november 2021,8,98542,vasastan,48,2,5
sigtunagatan 18,2019,3.0,8050000, 25 november 2021,19,136441,vasastan,59,2,
birger jarlsgatan 105,841,2.0,5250000, 25 november 2021,14,100962,vasastan,52,2,
tomtebogatan 17,1896,3.0,7050000, 25 november 2021,12,115574,vasastan,61,2,
tomtebogatan 13b,2775,,9000000, 25 november 2021,,126761,vasastan,71,2,4
västmannagatan 95,1154,2.0,3250000, 25 november 2021,16,125000,vasastan,26,1,2
torsgatan 77,2313,2.0,4500000, 25 november 2021,13,104651,vasastan,43,2,3
sveavägen 131,3750,3.0,6850000, 25 november 2021,5,99275,vasastan,69,3,4
västmannagatan 89 a,1515,1.0,4800000, 25 november 2021,20,129730,vasastan,37,2,1
norra stationsgatan 115,1759,2.0,3805000, 24 november 2021,23,108714,vasastan,35,2,0
tomtebogatan 46,1945,2.0,4250000, 24 november 2021,22,118056,vasastan,36,2,
surbrunnsgatan 55,2663,2.0,5410000, 24 november 2021,15,93276,vasastan,58,2,3
rörstrandsgatan 48,3494,3.0,7520000, 24 november 2021,4,127458,vasastan,59,2,
roslagsgatan 59,1647,,3220000, 24 november 2021,12,111034,vasastan,29,1,1
upplandsgatan 54d,2709,,6650000, 24 november 2021,11,110833,vasastan,60,2,
atlasmuren 18,1044,2.0,4400000, 24 november 2021,5,86275,vasastan,51,2,
tulegatan 26,2084,2.0,5810000, 24 november 2021,29,116200,vasastan,50,2,3
dalagatan 39,4807,3.0,12750000, 24 november 2021,11,123786,vasastan,103,3,3
karlbergsvägen 67,2919,3.0,7750000, 23 november 2021,19,121094,vasastan,64,3,1
sveavägen 106,1096,1.0,8700000, 23 november 2021,9,126087,vasastan,69,3,3
roslagsgatan 59,1677,1.0,3400000, 23 november 2021,7,117241,vasastan,29,1,2
karlbergsvägen 46a,1803,3.0,8325000, 23 november 2021,17,118929,vasastan,70,3,4
sankt eriksgatan 108,2032,2.0,4695000, 23 november 2021,12,99894,vasastan,47,1,2
torsplan 10,4458,3.0,10400000, 23 november 2021,4,138667,vasastan,75,2,14
völundsgatan 7,1588,2.0,3395000, 23 november 2021,3,97000,vasastan,35,1,
frejgatan 16,2881,3.0,7560000, 23 november 2021,16,112836,vasastan,67,3,3
sonja kovalevskys gata 4,4145,3.0,9400000, 22 november 2021,6,103297,vasastan,91,4,2
dannemoragatan 18,1936,3.0,3900000, 22 november 2021,12,105405,vasastan,37,2,4
sveavägen 129,1972,2.0,6900000, 22 november 2021,15,102985,vasastan,67,3,
nina einhorns gata 6,3968,3.0,6700000, 22 november 2021,-1,97101,vasastan,69,3,
hälsingegatan 61,4900,3.0,9715000, 21 november 2021,11,99133,vasastan,98,4,6
hälsingegatan 14d,1617,1.0,7000000, 21 november 2021,17,129630,vasastan,54,2,3
robert almströmsgatan 3,2492,2.0,5200000, 20 november 2021,18,118182,vasastan,44,2,
falugatan 13,2671,,4550000, 20 november 2021,14,103409,vasastan,44,2,
torsplan 10,4136,3.0,11000000, 19 november 2021,±0,161765,vasastan,68,3,14
torsplan 8,4869,3.0,10000000, 19 november 2021,5,117647,vasastan,85,4,
holländargatan 26b,2030,2.0,5600000, 19 november 2021,25,130233,vasastan,43,2,
torsplan 8,3621,3.0,9437000, 19 november 2021,11,162707,vasastan,58,2,15
västmannagatan 81b,2916,2.0,5700000, 19 november 2021,27,123913,vasastan,46,2,2
torsgatan 43,4022,3.0,18500000, 19 november 2021,14,139098,vasastan,133,4,4
vulcanusgatan 13,1861,2.0,4100000, 18 november 2021,8,117143,vasastan,35,2,4
rörstrandsgatan 22,4039,3.0,12500000, 18 november 2021,4,119048,vasastan,105,3,2
torsgatan 61,1740,2.0,3950000, 18 november 2021,16,109722,vasastan,36,1,2
tulegatan 22,2190,2.0,5600000, 18 november 2021,22,121739,vasastan,46,2,3
hälsingegatan 9,4592,3.0,16500000, 18 november 2021,22,152778,vasastan,108,4,2
dalagatan 86 c,3080,2.0,5600000, 18 november 2021,29,114286,vasastan,49,2,
västmannagatan 86,4196,,12170000, 18 november 2021,22,143176,vasastan,85,3,4
vanadisvägen 5,4799,2.0,8300000, 17 november 2021,8,96512,vasastan,86,3,1
roslagsgatan 47,2300,2.0,4400000, 17 november 2021,9,104762,vasastan,42,2,
dannemoragatan 18,2800,3.0,5800000, 17 november 2021,8,103571,vasastan,56,2,4
rörstrandsgatan 38,3935,3.0,10260000, 17 november 2021,21,131538,vasastan,78,3,
gästrikegatan 8,4966,3.0,11900000, 17 november 2021,9,140000,vasastan,85,3,
rådmansgatan 39b,3845,3.0,11900000, 17 november 2021,±0,122680,vasastan,97,3,
roslagsgatan 29,3455,2.0,4700000, 17 november 2021,1,83929,vasastan,56,2,
västmannagatan 76,2247,3.0,4275000, 17 november 2021,7,109615,vasastan,39,2,
upplandsgatan 77,2959,2.0,6950000, 17 november 2021,,113934,vasastan,61,2,
torsgatan 52,3587,2.0,10300000, 16 november 2021,16,121176,vasastan,85,3,2
eastmansvägen 11,1712,3.0,5950000, 16 november 2021,4,129348,vasastan,46,2,6
surbrunnsgatan 46,824,3.0,9200000, 16 november 2021,32,139394,vasastan,66,2,3
hagagatan 10a,3235,3.0,8350000, 16 november 2021,17,130469,vasastan,64,3,
robert almströmsgatan 10,1539,3.0,6075000, 16 november 2021,35,164189,vasastan,37,2,5
tulegatan 21,1783,3.0,6225000, 16 november 2021,18,141477,vasastan,44,2,4
dannemoragatan 16a,3708,3.0,8125000, 16 november 2021,14,114437,vasastan,71,3,3
karlbergsvägen 32 a,2720,3.0,8900000, 16 november 2021,19,123611,vasastan,72,2,2
hagagatan 48,4212,3.0,12150000, 16 november 2021,22,129255,vasastan,94,3,4
tomtebogatan 26a,4324,1.0,12500000, 15 november 2021,5,109649,vasastan,114,4,
frejgatan 34,5018,3.0,15800000, 15 november 2021,11,171739,vasastan,92,4,
tomtebogatan 32,4541,2.0,10050000, 14 november 2021,,115517,vasastan,87,3,
döbelnsgatan 55,3043,3.0,12600000, 14 november 2021,21,148235,vasastan,85,3,2
torsplan 10,3722,3.0,7825000, 13 november 2021,6,132627,vasastan,59,2,8
birger jarlsgatan 69,424,2.0,3745000, 12 november 2021,39,149800,vasastan,25,1,
döbelnsgatan 89,1478,2.0,5200000, 12 november 2021,21,120930,vasastan,43,2,6
norrtullsgatan 30,2691,3.0,4875000, 12 november 2021,14,99490,vasastan,49,2,4
völundsgatan 7,2959,2.0,8350000, 12 november 2021,9,112838,vasastan,74,3,2
sankt eriksgatan 84,1337,2.0,4650000, 12 november 2021,23,122368,vasastan,38,2,5
torsgatan 78,2454,,4500000, 11 november 2021,16,102273,vasastan,44,2,4
torbjörn klockares gata 2,1654,,4150000, 11 november 2021,12,106410,vasastan,39,1,3
karlbergsvägen 57,3087,3.0,9925000, 11 november 2021,10,135959,vasastan,73,3,5
völundsgatan 1,1529,2.0,2800000, 11 november 2021,17,116667,vasastan,24,1,
norrbackagatan 25a,1668,3.0,3800000, 11 november 2021,10,111765,vasastan,34,1,4
vikingagatan 5,3211,1.0,7225000, 11 november 2021,21,129018,vasastan,56,2,4
birger jarlsgatan 113c,2689,1.0,6400000, 10 november 2021,17,112281,vasastan,57,2,
tre liljor 6,1276,2.0,2900000, 10 november 2021,5,116000,vasastan,25,1,
sveavägen 80 / rådmansgatan 43,1964,3.0,11850000, 10 november 2021,3,158000,vasastan,75,3,
dalagatan 35 d,3228,2.0,8700000, 10 november 2021,16,122535,vasastan,71,3,
sveavägen 140,600,2.0,2955000, 10 november 2021,18,123125,vasastan,24,1,
vulcanusgatan 3,1477,2.0,3000000, 9 november 2021,16,120000,vasastan,25,1,3
västmannagatan 39,2516,2.0,7300000, 9 november 2021,22,123729,vasastan,59,2,3
rörstrandsgatan 19,2911,2.0,8050000, 9 november 2021,12,115000,vasastan,70,3,2
gästrikegatan 14a,1646,4.0,3850000, 9 november 2021,17,116667,vasastan,33,1,
upplandsgatan 73,3660,3.0,12300000, 9 november 2021,17,135165,vasastan,91,3,2
karlbergsvägen 35,3600,3.0,11950000, 9 november 2021,17,145732,vasastan,82,3,4
sigtunagatan 11a,2150,1.0,5640000, 9 november 2021,25,141000,vasastan,40,2,1
surbrunnsgatan 55,1823,2.0,5420000, 9 november 2021,15,93448,vasastan,58,2,5
torbjörn klockares gata 7,3330,2.0,5775000, 9 november 2021,16,86194,vasastan,67,2,
sveavägen 126,1915,3.0,4375000, 9 november 2021,27,112179,vasastan,39,2,4
västeråsgatan 7,4707,3.0,11300000, 9 november 2021,10,120213,vasastan,94,3,2
kungstensgatan 28 c,2093,3.0,10150000, 9 november 2021,7,115341,vasastan,88,3,5
torsgatan 33,3026,3.0,8420000, 9 november 2021,21,145172,vasastan,58,2,6
vulcanusgatan 4,1778,2.0,3300000, 8 november 2021,10,103125,vasastan,32,1,
västmannagatan 86,1827,3.0,4725000, 8 november 2021,22,127703,vasastan,37,2,3
nina einhorns gata 6,4302,3.0,8500000, 8 november 2021,6,111842,vasastan,76,4,6
tegnérlunden 10,2934,,9150000, 8 november 2021,10,114375,vasastan,80,3,
torsplan 10,5885,2.0,16500000, 6 november 2021,3,155660,vasastan,106,4,
karlbergs­vägen 30,1627,2.0,6000000, 5 november 2021,±0,139535,vasastan,43,1,5
rörstrandsgatan 38a,1615,1.0,3850000, 5 november 2021,,120313,vasastan,32,1,
norra stationsgatan 115,2818,,7500000, 5 november 2021,21,110294,vasastan,68,3,
torsgatan 74,3304,2.0,5400000, 4 november 2021,8,103846,vasastan,52,2,
upplandsgatan 24b,2383,3.0,8250000, 4 november 2021,3,150000,vasastan,55,2,
norrbackagatan 25a,1913,2.0,3600000, 4 november 2021,20,92308,vasastan,39,1,2
birkagatan 31,2335,3.0,7425000, 4 november 2021,24,130263,vasastan,57,2,
vikingagatan 20a,1217,,4200000, 4 november 2021,3,105000,vasastan,40,2,
torsplan 8,5195,3.0,15700000, 3 november 2021,5,170652,vasastan,92,3,
hälsingehöjden 11,1794,2.0,4700000, 3 november 2021,,114634,vasastan,41,2,
dalagatan 86d,2139,,3600000, 3 november 2021,3,100000,vasastan,36,1,
frejgatan 16,1806,3.0,4850000, 3 november 2021,21,112791,vasastan,43,2,2
birger jarlsgatan 117,3801,3.0,7795000, 3 november 2021,±0,90640,vasastan,86,3,5
idungatan 3,2385,2.0,4900000, 3 november 2021,23,106522,vasastan,46,2,3
frejgatan 55,3500,3.0,14000000, 3 november 2021,±0,135922,vasastan,103,3,3
roslagsgatan 29,2010,3.0,4000000, 2 november 2021,18,125000,vasastan,32,2,1
gästrikegatan 9b,1434,,3400000, 2 november 2021,26,130769,vasastan,26,1,2
drottninggatan 112a,3695,3.0,13600000, 2 november 2021,16,129524,vasastan,105,4,2
karlbergsvägen 27c,1608,1.0,4260000, 2 november 2021,9,115135,vasastan,37,1,1
döbelnsgatan 47,2890,2.0,6825000, 2 november 2021,18,117672,vasastan,58,3,1
heimdalsgatan 5,3936,3.0,11500000, 2 november 2021,±0,129213,vasastan,89,4,
norrbackagatan 25a,3665,2.0,8370000, 2 november 2021,12,93000,vasastan,90,3,3
birger jarlsgatan 99b,1109,,5520000, 2 november 2021,23,115000,vasastan,48,2,
völundsgatan 9,1347,3.0,2800000, 2 november 2021,37,147368,vasastan,19,1,5
västmannagatan 86,2024,2.0,5100000, 1 november 2021,19,124390,vasastan,41,2,1
emmy rappes gata 3,1834,2.0,3695000, 1 november 2021,±0,123167,vasastan,30,1,6
roslagsgatan 54,1509,2.0,3100000, 1 november 2021,15,129167,vasastan,24,1,2
vulcanusgatan 9,1179,3.0,2600000, 1 november 2021,18,130000,vasastan,20,1,5
eastmansvägen 8 b,4830,3.0,13100000, 1 november 2021,-6,150575,vasastan,87,3,5
sveavägen 121,1589,2.0,3000000, 1 november 2021,5,120000,vasastan,25,1,
surbrunnsgatan 24,1067,,7000000, 1 november 2021,17,109375,vasastan,64,2,
roslagsgatan 6,1538,,4000000, 1 november 2021,±0,108108,vasastan,37,1,
birger jarlsgatan 131a / roslagsgatan 62 högst upp!,3225,3.0,9750000, 30 oktober 2021,8,133562,vasastan,73,3,
karlbergsvägen 84,6764,3.0,12750000, 30 oktober 2021,11,112832,vasastan,113,3,5
upplandsgatan 85b,1737,2.0,4025000, 30 oktober 2021,34,125781,vasastan,32,1,
roslagsgatan 45,2890,2.0,5550000, 29 oktober 2021,,111000,vasastan,50,2,
rehnsgatan 10a,1658,1.0,6150000, 29 oktober 2021,,175714,vasastan,35,2,
robert almströmsgatan 12,1905,2.0,5100000, 29 oktober 2021,28,130769,vasastan,39,2,
tulegatan 32a,2165,2.0,6450000, 29 oktober 2021,17,117273,vasastan,55,2,2
dalagatan 53,2681,3.0,13000000, 28 oktober 2021,9,134021,vasastan,97,4,2
birkagatan 21a,2231,1.0,7470000, 28 oktober 2021,7,113182,vasastan,66,2,3
dalagatan 6,1216,3.0,3650000, 28 oktober 2021,11,104286,vasastan,35,1,3
surbrunnsgatan 52,3384,3.0,8000000, 28 oktober 2021,29,133333,vasastan,60,2,
gävlegatan 7,1452,,4200000, 28 oktober 2021,14,110526,vasastan,38,2,
västmannagatan 71b,1178,3.0,4400000, 28 oktober 2021,17,129412,vasastan,34,1,2
atlasgatan 1,2845,2.0,7000000, 27 oktober 2021,,109375,vasastan,64,2,3
vulcanusgatan 3,1477,2.0,3070000, 27 oktober 2021,23,122800,vasastan,25,1,2
nina einhorns gata 10,3229,3.0,5050000, 27 oktober 2021,5,93519,vasastan,54,2,
sveavägen 139,3359,2.0,6625000, 27 oktober 2021,11,90753,vasastan,73,3,2
upplandsgatan 54a,5034,2.0,14600000, 27 oktober 2021,3,119672,vasastan,122,4,
tomtebogatan 46,4539,3.0,11075000, 27 oktober 2021,17,131845,vasastan,84,3,4
atlasgatan 7,1960,2.0,5200000, 27 oktober 2021,30,130000,vasastan,40,2,
robert almströmsgatan 12,1944,3.0,5400000, 27 oktober 2021,29,135000,vasastan,40,2,
hagagatan 16,3612,3.0,8925000, 26 oktober 2021,31,119000,vasastan,75,3,
torsgatan 68,3425,2.0,7710000, 26 oktober 2021,10,98846,vasastan,78,3,4
surbrunnsgatan 43a,2579,1.0,6100000, 26 oktober 2021,22,124490,vasastan,49,2,4
odengatan 71,3609,3.0,8500000, 26 oktober 2021,10,121429,vasastan,70,2,
döbelnsgatan 53a,1183,1.0,5615000, 26 oktober 2021,28,170152,vasastan,33,2,
upplandsgatan 77,4343,3.0,12000000, 26 oktober 2021,20,136364,vasastan,88,3,4
upplandsgatan 65,4068,3.0,14300000, 26 oktober 2021,31,143000,vasastan,100,4,2
luntmakargatan 74,6120,3.0,11050000, 26 oktober 2021,5,108333,vasastan,102,4,2
tomtebogatan 31,1481,3.0,8300000, 26 oktober 2021,19,143103,vasastan,58,3,
upplandsgatan 59,2976,3.0,11200000, 26 oktober 2021,9,130233,vasastan,86,3,3
atlasgatan 6,3896,3.0,11050000, 26 oktober 2021,12,104245,vasastan,106,4,
karlbergsvägen 29a,2016,3.0,7440000, 26 oktober 2021,19,135273,vasastan,55,2,
markvardsgatan 4,2998,3.0,8700000, 26 oktober 2021,16,138095,vasastan,63,3,
torsplan 10,5885,3.0,16500000, 25 oktober 2021,±0,155660,vasastan,106,4,
torsgatan 42c,2900,2.0,5600000, 25 oktober 2021,12,94915,vasastan,59,2,
västmannagatan 81b,4708,3.0,11111111, 25 oktober 2021,40,122100,vasastan,91,3,
vanadisvägen 7,1171,2.0,2650000, 24 oktober 2021,18,132500,vasastan,20,1,0
odengatan 28,2444,2.0,10500000, 23 oktober 2021,5,85366,vasastan,123,4,1
torsgatan 61,2779,2.0,6650000, 22 oktober 2021,2,93662,vasastan,71,3,
